sample_index,true_label,baseline_prediction,neat_pure_prediction,neat_gradient_prediction,baseline_correct,neat_pure_correct,neat_gradient_correct,same_prediction,weighted_jaccard,dad
0,3,3,7,3,1,0,1,0,0.4886222727875465,0.5113777272124536
1,1,1,1,1,1,1,1,1,0.45546282682992006,0.5445371731700799
2,7,7,8,7,1,0,1,0,0.2606608480065311,0.7393391519934689
3,8,8,8,8,1,1,1,1,0.22910363478015175,0.7708963652198483
4,8,8,8,8,1,1,1,1,0.31333301291350263,0.6866669870864974
5,0,0,0,0,1,1,1,1,0.42188015549779495,0.5781198445022051
6,1,1,1,1,1,1,1,1,0.19879648340596706,0.801203516594033
7,3,3,7,3,1,0,1,0,0.5561144151060109,0.4438855848939891
8,0,0,8,0,1,0,1,0,0.33365924960454846,0.6663407503954515
9,1,1,1,1,1,1,1,1,0.25812837676571343,0.7418716232342866
10,3,3,7,3,1,0,1,0,0.6262420841127738,0.3737579158872262
11,6,6,8,6,1,0,1,0,0.45635126613292204,0.5436487338670779
