sample_index,true_label,baseline_prediction,neat_pure_prediction,neat_gradient_prediction,baseline_correct,neat_pure_correct,neat_gradient_correct,same_prediction,weighted_jaccard,dad
0,3,3,2,3,1,0,1,0,0.40135577029680114,0.5986442297031989
1,1,1,1,1,1,1,1,1,0.3912924013174315,0.6087075986825685
2,7,7,0,7,1,0,1,0,0.433982611671701,0.5660173883282991
4,8,8,6,8,1,0,1,0,0.23103750239794993,0.76896249760205
5,0,0,0,0,1,1,1,1,0.20741251418799683,0.7925874858120032
6,1,1,1,1,1,1,1,1,0.2241552101303813,0.7758447898696187
7,3,3,6,3,1,0,1,0,0.31359425593790186,0.6864057440620981
8,0,0,6,0,1,0,1,0,0.29309452888553966,0.7069054711144603
9,1,1,1,1,1,1,1,1,0.39625268182816853,0.6037473181718315
10,3,3,6,3,1,0,1,0,0.3443757857042454,0.6556242142957547
11,6,6,6,6,1,1,1,1,0.41819140211118094,0.581808597888819
12,6,6,6,6,1,1,1,1,0.3224721181578867,0.6775278818421133
