sample_index,true_label,baseline_prediction,neat_pure_prediction,neat_gradient_prediction,baseline_correct,neat_pure_correct,neat_gradient_correct,same_prediction,weighted_jaccard,dad
0,1,1,0,1,1,0,1,0,0.24452283689617613,0.7554771631038238
1,0,0,8,0,1,0,1,0,0.22893647924476954,0.7710635207552304
2,5,5,7,5,1,0,1,0,0.18296061575637812,0.8170393842436219
3,5,5,7,5,1,0,1,0,0.19739893207795697,0.802601067922043
4,3,3,0,3,1,0,1,0,0.3193145228195772,0.6806854771804228
5,8,8,8,8,1,1,1,1,0.2468739173682521,0.7531260826317479
6,4,4,8,4,1,0,1,0,0.4177526123368883,0.5822473876631117
7,3,3,8,3,1,0,1,0,0.19276980834207877,0.8072301916579212
8,0,0,0,0,1,1,1,1,0.2687488131938456,0.7312511868061544
11,4,4,8,4,1,0,1,0,0.37568023533658024,0.6243197646634198
12,9,9,7,9,1,0,1,0,0.1896051678989121,0.8103948321010879
14,3,3,0,3,1,0,1,0,0.3869646527364448,0.6130353472635552
