sample_index,true_label,baseline_prediction,neat_pure_prediction,neat_gradient_prediction,baseline_correct,neat_pure_correct,neat_gradient_correct,same_prediction,weighted_jaccard,dad
0,5,5,3,5,1,0,1,0,0.2829486463671683,0.7170513536328317
1,1,1,9,1,1,0,1,0,0.42117533737893653,0.5788246626210635
2,6,6,0,6,1,0,1,0,0.15301540545659775,0.8469845945434022
5,5,5,0,5,1,0,1,0,0.2579890349957267,0.7420109650042733
6,7,7,0,7,1,0,1,0,0.2581885626836687,0.7418114373163314
8,2,2,0,2,1,0,1,0,0.40200887710890165,0.5979911228910983
9,7,7,0,7,1,0,1,0,0.3253762527729917,0.6746237472270082
12,7,7,0,7,1,0,1,0,0.33903899693116624,0.6609610030688338
14,3,3,0,3,1,0,1,0,0.18106626943701964,0.8189337305629804
15,9,9,0,9,1,0,1,0,0.2748456324597904,0.7251543675402097
20,2,2,0,2,1,0,1,0,0.43238568258338056,0.5676143174166195
22,9,9,1,9,1,0,1,0,0.38182486171699287,0.6181751382830072
